Fecha,"Nombre del dispositivo",Temperatura,"Temperatura minima","Temperatura maxima","Vibracion pico X","Vibracion pico Y","Vibracion pico Z","Vibracion pico pico X","Vibracion pico pico Y","Vibracion pico pico Z","Vibracion RMS X","Vibracion RMS Y","Vibracion RMS Z","Voltaje de la bateria"
"2021-06-15 06:20:06","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:25:05","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:30:06","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:35:06","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:40:05","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:45:05","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:50:06","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 06:55:06","ROLAND 600 VERTICAL",24.50,24,24.5,0.0114746,0.00976562,0.0117188,0.0219727,0.0185547,0.0227051,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 07:00:09","ROLAND 600 VERTICAL",24.00,24,24,0.0107422,0.0124512,0.0131836,0.0200195,0.0202637,0.0239258,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 07:05:05","ROLAND 600 VERTICAL",23.00,23,24,0.0107422,0.0102539,0.015625,0.0205078,0.0166016,0.029541,0.00292969,0.00268555,0.00415039,3.63
"2021-06-15 07:10:06","ROLAND 600 VERTICAL",23.75,23,24,0.0410156,0.052002,0.0554199,0.0778809,0.0866699,0.103516,0.00610352,0.00585938,0.00878906,3.63
"2021-06-15 07:15:19","ROLAND 600 VERTICAL",23.00,23,24,0.0119629,0.010498,0.0175781,0.0205078,0.0197754,0.0327148,0.00317383,0.00292969,0.00439453,3.63
"2021-06-15 07:20:05","ROLAND 600 VERTICAL",23.00,23,24,0.00976562,0.0100098,0.0144043,0.0195312,0.0180664,0.0283203,0.00292969,0.00268555,0.00439453,3.63
"2021-06-15 07:25:05","ROLAND 600 VERTICAL",23.00,23,24,0.0114746,0.0109863,0.015625,0.0205078,0.0205078,0.0310059,0.00317383,0.00292969,0.00463867,3.63
"2021-06-15 07:30:06","ROLAND 600 VERTICAL",23.00,23,24,0.0114746,0.00976562,0.0158691,0.020752,0.0185547,0.0307617,0.00292969,0.00268555,0.00415039,3.63
"2021-06-15 07:35:06","ROLAND 600 VERTICAL",23.00,23,24,0.0383301,0.0419922,0.057373,0.0708008,0.0812988,0.109375,0.00585938,0.00585938,0.00854492,3.63
"2021-06-15 07:40:05","ROLAND 600 VERTICAL",23.00,23,24,0.0112305,0.0090332,0.0136719,0.0202637,0.0178223,0.026123,0.00341797,0.00268555,0.00439453,3.63
"2021-06-15 07:45:05","ROLAND 600 VERTICAL",23.00,23,24,0.0371094,0.0456543,0.0654297,0.0734863,0.0810547,0.112793,0.00610352,0.00610352,0.00878906,3.63
"2021-06-15 07:50:06","ROLAND 600 VERTICAL",23.00,23,24,0.0090332,0.0090332,0.0119629,0.017334,0.0168457,0.0219727,0.00317383,0.00292969,0.00415039,3.63
"2021-06-15 07:55:05","ROLAND 600 VERTICAL",23.00,23,24,0.00927734,0.0090332,0.0148926,0.0178223,0.0175781,0.0263672,0.00292969,0.00268555,0.00415039,3.63
"2021-06-15 08:00:06","ROLAND 600 VERTICAL",23.00,23,24,0.0444336,0.0490723,0.0625,0.0808105,0.0881348,0.110107,0.00585938,0.00610352,0.00854492,3.63
"2021-06-15 08:05:05","ROLAND 600 VERTICAL",23.00,23,24,0.0109863,0.0117188,0.0170898,0.0197754,0.0212402,0.0280762,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 08:10:05","ROLAND 600 VERTICAL",23.00,23,24,0.00952148,0.00927734,0.0141602,0.0187988,0.0175781,0.0268555,0.00292969,0.00268555,0.00415039,3.63
"2021-06-15 08:15:06","ROLAND 600 VERTICAL",23.00,23,24,0.00927734,0.012207,0.0183105,0.0185547,0.0214844,0.0314941,0.00317383,0.00317383,0.00463867,3.63
"2021-06-15 08:20:06","ROLAND 600 VERTICAL",23.00,23,24,0.00927734,0.0100098,0.0163574,0.0185547,0.0183105,0.0297852,0.00317383,0.00292969,0.00439453,3.63
"2021-06-15 08:25:05","ROLAND 600 VERTICAL",23.00,23,24,0.0397949,0.0407715,0.0598145,0.0788574,0.0761719,0.111328,0.00610352,0.00610352,0.00854492,3.63
"2021-06-15 08:30:06","ROLAND 600 VERTICAL",23.00,23,24,0.0119629,0.0100098,0.0161133,0.0222168,0.0175781,0.0268555,0.00341797,0.00292969,0.00415039,3.63
"2021-06-15 08:35:05","ROLAND 600 VERTICAL",23.00,23,24,0.0402832,0.0385742,0.0698242,0.076416,0.076416,0.123291,0.00610352,0.00585938,0.00854492,3.63
"2021-06-15 08:40:07","ROLAND 600 VERTICAL",23.00,23,24,0.0397949,0.0402832,0.0583496,0.0771484,0.0776367,0.114258,0.00610352,0.00610352,0.00878906,3.63
"2021-06-15 08:45:06","ROLAND 600 VERTICAL",23.00,23,24,0.0090332,0.0131836,0.0146484,0.0178223,0.0244141,0.0275879,0.00292969,0.00292969,0.00390625,3.63
"2021-06-15 08:50:06","ROLAND 600 VERTICAL",23.00,23,24,0.0429688,0.0390625,0.0583496,0.0795898,0.0766602,0.109375,0.00634766,0.00585938,0.0090332,3.63
"2021-06-15 08:55:05","ROLAND 600 VERTICAL",24.00,23,24,0.0109863,0.010498,0.013916,0.0197754,0.0202637,0.0246582,0.00317383,0.00317383,0.00439453,3.63
"2021-06-15 09:00:07","ROLAND 600 VERTICAL",24.00,23,24.25,0.134033,0.437012,0.282227,0.257812,0.868896,0.485107,0.0405273,0.115234,0.0749512,3.63
"2021-06-15 09:05:06","ROLAND 600 VERTICAL",24.50,23,24.5,0.88623,3.85107,2.96021,1.60547,7.2356,5.77881,0.180664,1.2251,1.03003,3.63
"2021-06-15 09:10:06","ROLAND 600 VERTICAL",26.00,23,26,0.737305,4.94458,3.22046,1.40601,9.75732,5.90527,0.230957,1.35327,1.12109,3.63
"2021-06-15 09:15:06","ROLAND 600 VERTICAL",27.00,23,27.25,0.860596,2.09326,2.396,1.59497,4.04443,4.34106,0.143066,0.459717,0.49292,3.63
"2021-06-15 09:20:06","ROLAND 600 VERTICAL",29.00,23,29.5,0.95874,3.97266,3.25488,1.8479,7.38159,6.26904,0.262939,1.28296,1.15381,3.63
"2021-06-15 09:25:05","ROLAND 600 VERTICAL",30.00,23,30.75,0.765625,3.66284,3.62793,1.38672,7.25513,7.02026,0.239014,1.30493,1.16577,3.63
"2021-06-15 09:30:06","ROLAND 600 VERTICAL",32.00,23,32.5,0.759521,2.58545,2.67944,1.46045,4.97412,4.95264,0.176758,0.562256,0.620605,3.63
